Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Fuel Type Factor,Aerodynamic Proxy,City_Hwy_Diff,VEEI
ACURA,ILX,COMPACT,2.0,4,AS5,Petrol,9.9,6.7,8.5,33,196,1.0,6.7,3.2,98.81284545635508
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Petrol,12.7,9.1,11.1,25,255,1.0,9.1,3.6,93.61656451007937
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Petrol,12.1,8.7,10.6,27,244,1.0,8.7,3.4000000000000004,94.38888582578753
ACURA,RLX,MID-SIZE,3.5,6,AS6,Petrol,11.9,7.7,10.0,28,230,1.0,7.7,4.2,94.92146639549159
ACURA,TL,MID-SIZE,3.5,6,AS6,Petrol,11.8,8.1,10.1,28,232,1.0,8.1,3.700000000000001,94.86781089033484
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Petrol,12.8,9.0,11.1,25,255,1.0,9.0,3.8000000000000007,93.2353958014458
ACURA,TSX,COMPACT,2.4,4,AS5,Petrol,10.6,7.5,9.2,31,212,1.0,7.5,3.1,98.24880004430906
ACURA,TSX,COMPACT,3.5,6,AS5,Petrol,12.1,8.3,10.4,27,239,1.0,8.3,3.799999999999999,94.5001713179645
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Petrol,9.7,6.9,8.4,34,193,1.0,6.9,2.799999999999999,99.01443457709613
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Petrol,18.0,12.6,15.6,18,359,1.0,12.6,5.4,56.38965962558892
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Petrol,18.0,12.6,15.6,18,359,1.0,12.6,5.4,56.38965962558892
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Petrol,18.0,12.6,15.6,18,359,1.0,12.6,5.4,56.38965962558892
AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Petrol,11.5,8.1,10.0,28,230,1.0,8.1,3.4000000000000004,98.2429976671001
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Petrol,11.5,8.1,10.0,28,230,1.0,8.1,3.4000000000000004,98.2429976671001
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Petrol,11.5,8.1,10.0,28,230,1.0,8.1,3.4000000000000004,98.2429976671001
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Petrol,12.0,8.1,10.2,28,235,1.0,8.1,3.9,98.20211728221877
AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Petrol,12.8,8.6,10.9,26,251,1.0,8.6,4.200000000000001,94.88844762308744
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,Diesel,9.8,6.2,8.1,35,217,0.9,6.2,3.6000000000000005,96.9757057357787
AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Petrol,13.3,8.5,11.2,25,262,1.0,8.5,4.800000000000001,94.51797699671282
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,Diesel,9.8,6.2,8.1,35,217,0.9,6.2,3.6000000000000005,96.9757057357787
AUDI,A8,MID-SIZE,3.0,6,AS8,Petrol,13.1,8.8,11.2,25,258,1.0,8.8,4.299999999999999,94.51797699671282
AUDI,A8,MID-SIZE,4.0,8,AS8,Petrol,13.7,8.3,11.3,25,265,1.0,8.3,5.399999999999999,89.93937389000325
AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,Diesel,9.8,6.5,8.4,34,224,0.9,6.5,3.3000000000000007,96.75206598319257
AUDI,A8L,FULL-SIZE,3.0,6,AS8,Petrol,13.1,8.8,11.2,25,258,1.0,8.8,4.299999999999999,94.51797699671282
AUDI,A8L,FULL-SIZE,4.0,8,AS8,Petrol,14.7,9.7,12.5,23,288,1.0,9.7,5.0,87.84516064293436
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Petrol,18.7,11.5,15.5,18,363,1.0,11.5,7.199999999999999,53.714038435105515
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS8,Diesel,9.8,6.5,8.4,34,224,0.9,6.5,3.3000000000000007,96.75206598319257
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Petrol,11.8,8.8,10.5,27,242,1.0,8.8,3.0,98.0613070676275
AUDI,Q5,SUV - SMALL,2.0,4,AS8,Petrol,12.0,8.5,10.4,27,239,1.0,8.5,3.5,98.08250430423263
AUDI,Q5,SUV - SMALL,3.0,6,AS8,Petrol,12.9,9.2,11.2,25,258,1.0,9.2,3.700000000000001,94.51797699671282
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS8,Diesel,10.2,7.8,9.0,31,244,0.9,7.8,2.3999999999999995,96.13304231838602
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Petrol,9.9,8.3,9.2,31,212,1.0,8.3,1.5999999999999996,98.58850285545203
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Petrol,15.1,10.9,13.2,21,304,1.0,10.9,4.199999999999999,92.19270070466246
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS8,Diesel,12.4,8.7,10.7,26,290,0.9,8.7,3.700000000000001,94.39866916575913
AUDI,R8,TWO-SEATER,4.2,8,A7,Petrol,17.6,11.0,14.6,19,336,1.0,11.0,6.600000000000001,81.81596806225696
AUDI,R8,TWO-SEATER,5.2,10,A7,Petrol,18.2,10.6,14.8,19,347,1.0,10.6,7.6,71.3092788279129
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Petrol,17.6,11.0,14.6,19,336,1.0,11.0,6.600000000000001,81.81596806225696
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Petrol,18.2,10.6,14.8,19,347,1.0,10.6,7.6,71.3092788279129
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Petrol,15.3,10.9,13.3,21,306,1.0,10.9,4.4,85.06316158135756
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Petrol,15.2,11.3,13.4,21,308,1.0,11.3,3.899999999999999,84.94869650368983
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Petrol,15.5,8.8,12.5,23,293,1.0,8.8,6.699999999999999,87.84516064293436
AUDI,S4,COMPACT,3.0,6,A7,Petrol,13.2,9.2,11.4,25,262,1.0,9.2,4.0,94.41495842681185
AUDI,S5,SUBCOMPACT,3.0,6,A7,Petrol,13.2,9.2,11.4,25,262,1.0,9.2,4.0,94.41495842681185
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Petrol,13.3,9.5,11.6,24,267,1.0,9.5,3.8000000000000007,94.06297831298356
AUDI,S6,MID-SIZE,4.0,8,A7,Petrol,14.2,9.7,12.2,23,281,1.0,9.7,4.5,88.14376519337193
AUDI,S7,MID-SIZE,4.0,8,A7,Petrol,14.2,9.7,12.2,23,281,1.0,9.7,4.5,88.14376519337193
AUDI,S8,MID-SIZE,4.0,8,AS8,Petrol,15.8,9.2,12.8,22,300,1.0,9.2,6.600000000000001,86.96744423710268
AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Petrol,14.9,10.1,12.7,22,292,1.0,10.1,4.800000000000001,92.85329056035859
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Petrol,10.4,7.6,9.1,31,209,1.0,7.6,2.8000000000000007,98.60696496475327
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Petrol,10.4,7.6,9.1,31,209,1.0,7.6,2.8000000000000007,98.60696496475327
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Petrol,11.5,8.8,10.3,27,237,1.0,8.8,2.6999999999999997,98.10370154083778
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Petrol,11.5,8.8,10.3,27,237,1.0,8.8,2.6999999999999997,98.10370154083778
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Petrol,16.3,9.8,13.4,21,314,1.0,9.8,6.5,85.67909271356969
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Petrol,18.8,11.5,15.5,18,356,1.0,11.5,7.300000000000001,55.93179931491796
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Petrol,17.4,10.2,14.2,20,332,1.0,10.2,7.199999999999999,84.03297588234791
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS8,Petrol,20.0,12.2,16.5,17,380,1.0,12.2,7.800000000000001,50.2927109298161
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Petrol,20.0,12.2,16.5,17,380,1.0,12.2,7.800000000000001,50.2927109298161
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Petrol,20.3,11.9,16.5,17,388,1.0,11.9,8.4,50.2927109298161
BMW,320i,COMPACT,2.0,4,A8,Petrol,10.0,6.5,8.4,34,193,1.0,6.5,3.5,98.87303653997715
BMW,320i xDRIVE,COMPACT,2.0,4,A8,Petrol,10.2,7.0,8.8,32,202,1.0,7.0,3.1999999999999997,98.71312209323546
BMW,328d xDRIVE,COMPACT,2.0,4,A8,Diesel,7.6,5.5,6.7,42,181,0.9,5.5,2.1,99.27257773077818
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Diesel,7.6,5.5,6.7,42,181,0.9,5.5,2.1,99.27257773077818
